conv_layers,filters,kernel,max_pooling_window,epochs,precision,recall,f1,mcc,time
1,8,5,2,20,0.48299319727891155,0.4127906976744186,0.445141065830721,0.34345052968812223,14.215353012084961
1,8,5,3,20,0.48299319727891155,0.4127906976744186,0.445141065830721,0.34345052968812223,15.340654134750366
1,8,5,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,11.106782913208008
1,8,5,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,13.493074893951416
1,8,7,2,20,0.4340659340659341,0.45930232558139533,0.4463276836158192,0.329128302540983,15.656172037124634
1,8,7,3,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,16.271491050720215
1,8,7,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,11.745703935623169
1,8,7,5,20,0.4863013698630137,0.4127906976744186,0.44654088050314467,0.34569954636152034,14.520145177841187
1,8,11,2,20,0.4340659340659341,0.45930232558139533,0.4463276836158192,0.329128302540983,17.886394262313843
1,8,11,3,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,15.121522188186646
1,8,11,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,16.34273099899292
1,8,11,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,15.838075160980225
1,16,5,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,18.300550937652588
1,16,5,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,20.30238699913025
1,16,5,4,20,0.48951048951048953,0.4069767441860465,0.4444444444444445,0.34500422487606175,18.968849897384644
1,16,5,5,20,0.4863013698630137,0.4127906976744186,0.44654088050314467,0.34569954636152034,15.230982303619385
1,16,7,2,20,0.4340659340659341,0.45930232558139533,0.4463276836158192,0.329128302540983,21.421525239944458
1,16,7,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,22.03279185295105
1,16,7,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,19.381235122680664
1,16,7,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,18.030558109283447
1,16,11,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,25.371445178985596
1,16,11,3,20,0.49295774647887325,0.4069767441860465,0.445859872611465,0.34730656526020276,24.441154956817627
1,16,11,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,19.426671028137207
1,16,11,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,21.099320888519287
1,32,5,2,20,0.49295774647887325,0.4069767441860465,0.445859872611465,0.34730656526020276,33.44071006774902
1,32,5,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,25.834897994995117
1,32,5,4,20,0.43646408839779005,0.45930232558139533,0.4475920679886686,0.33100553441060826,32.04214119911194
1,32,5,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,28.050007581710815
1,32,7,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,42.269187927246094
1,32,7,3,20,0.4340659340659341,0.45930232558139533,0.4463276836158192,0.329128302540983,36.893842935562134
1,32,7,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,33.50579833984375
1,32,7,5,20,0.46794871794871795,0.42441860465116277,0.4451219512195122,0.3385628063349331,32.44116568565369
1,32,11,2,20,0.4340659340659341,0.45930232558139533,0.4463276836158192,0.329128302540983,46.36378502845764
1,32,11,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,45.77091026306152
1,32,11,4,20,0.43243243243243246,0.46511627906976744,0.4481792717086835,0.3303744492422683,41.82710409164429
1,32,11,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,25.891123056411743
1,64,5,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,47.11572623252869
1,64,5,3,20,0.43646408839779005,0.45930232558139533,0.4475920679886686,0.33100553441060826,41.17982482910156
1,64,5,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,35.819100856781006
1,64,5,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,35.94458508491516
1,64,7,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,52.70157170295715
1,64,7,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,46.86786103248596
1,64,7,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,40.68810200691223
1,64,7,5,20,0.42780748663101603,0.46511627906976744,0.4456824512534819,0.3266946397332462,40.75757622718811
1,64,11,2,20,0.4228855721393035,0.4941860465116279,0.45576407506702415,0.33509244780527575,68.3445029258728
1,64,11,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,58.40212917327881
1,64,11,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,50.825310945510864
1,64,11,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,49.591318130493164
2,8,5,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,12.388579845428467
2,8,5,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,11.480410814285278
2,8,5,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,10.376544952392578
2,8,5,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,10.370145082473755
2,8,7,2,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,13.211177825927734
2,8,7,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,12.214487075805664
2,8,7,4,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,11.047172784805298
2,8,7,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,11.029497146606445
2,8,11,2,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,14.910198211669922
2,8,11,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,13.254670858383179
2,8,11,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,12.431225061416626
2,8,11,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,11.982995986938477
2,16,5,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,16.558626890182495
2,16,5,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,14.705185174942017
2,16,5,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,13.425036907196045
2,16,5,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,13.045312881469727
2,16,7,2,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,17.983683109283447
2,16,7,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,15.998830795288086
2,16,7,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,14.85672926902771
2,16,7,5,20,0.4896551724137931,0.4127906976744186,0.44794952681388017,0.34796695856281884,14.291213035583496
2,16,11,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,20.98843216896057
2,16,11,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,18.56841516494751
2,16,11,4,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,16.95556616783142
2,16,11,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,16.60367512702942
2,32,5,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,25.47058892250061
2,32,5,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,22.452877044677734
2,32,5,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,20.099667072296143
2,32,5,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,19.81519317626953
2,32,7,2,20,0.4863013698630137,0.4127906976744186,0.44654088050314467,0.34569954636152034,28.410379648208618
2,32,7,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,24.809576272964478
2,32,7,4,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,22.948837995529175
2,32,7,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,21.6139919757843
2,32,11,2,20,0.4965034965034965,0.4127906976744186,0.4507936507936508,0.3525582438336937,35.69873905181885
2,32,11,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,30.498142957687378
2,32,11,4,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,27.16590905189514
2,32,11,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,26.513299226760864
2,64,5,2,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,51.10159707069397
2,64,5,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,44.95632076263428
2,64,5,4,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,38.72219395637512
2,64,5,5,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,38.52294874191284
2,64,7,2,20,0.4863013698630137,0.4127906976744186,0.44654088050314467,0.34569954636152034,61.93498492240906
2,64,7,3,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,52.03159308433533
2,64,7,4,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,44.54024910926819
2,64,7,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,44.639328956604004
2,64,11,2,20,0.4896551724137931,0.4127906976744186,0.44794952681388017,0.34796695856281884,77.78220009803772
2,64,11,3,20,0.49645390070921985,0.4069767441860465,0.4472843450479233,0.3496283558054145,64.16054129600525
2,64,11,4,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,54.343775033950806
2,64,11,5,20,0.4930555555555556,0.4127906976744186,0.44936708860759494,0.3502530829623137,52.958641052246094
